label,text
fake,"Breaking: Scientists confirm that drinking hot water cures every disease overnight and requires no medicine at all."
real,"The city council approved the new transportation budget after a public meeting on Tuesday evening."
fake,"Secret government report proves people can reverse aging by placing phones under pillows while sleeping."
real,"Researchers at the university published a study on renewable energy storage in a peer-reviewed journal."
fake,"Celebrity claims that eating only ice cream for a week will make anyone lose 20 pounds instantly."
real,"The health department released updated guidelines encouraging vaccination ahead of the winter season."
fake,"Ancient pyramid discovered on Mars by amateur astronomer using a home telescope and a laptop."
real,"The company announced quarterly earnings that exceeded analyst expectations for the third straight time."
fake,"Experts say a single social media post can guarantee lottery winnings if shared exactly 12 times."
real,"The local hospital opened a new emergency wing funded by a combination of public and private donations."
fake,"New study reveals that sleeping with a spoon under your bed eliminates stress forever."
real,"Meteorologists forecast heavy rainfall through the weekend, with flood warnings issued in coastal areas."
fake,"Officials admit the moon is actually a hologram projected by satellites every night."
real,"The education ministry introduced a literacy program for schools in rural districts."
fake,"Shocking discovery shows that drinking vinegar before meals doubles intelligence within one day."
real,"Scientists developed a battery prototype that could improve electric vehicle charging times."
fake,"A viral post says eating raw garlic will instantly remove all debt and improve credit scores."
real,"The election commission confirmed the results after a full audit of the ballots."
fake,"Doctors hate this one trick: placing a lemon next to your laptop to boost internet speed."
real,"The museum announced a new exhibition featuring regional art collected over the last decade."
fake,"Underground tunnels found beneath every major city lead directly to hidden gold vaults."
real,"The transportation agency said the train service will run on a revised schedule next month."
fake,"A leaked memo proves that wearing red socks triples memory and focus."
real,"The nonprofit launched a food drive to support families affected by recent storms."
fake,"Anyone can become fluent in a language by watching one movie with the volume muted."
real,"Engineers completed inspections on the bridge and confirmed it remains safe for traffic."
fake,"New smartphone update can now charge the battery from 0 to 100 percent using sunlight from indoors."
real,"The court scheduled the hearing for next week after both sides filed additional documents."
fake,"This miracle tea is guaranteed to cure headaches, allergies, and insomnia in five minutes."
real,"The state weather service warned of high winds and advised residents to secure outdoor items."
fake,"A post claims that touching your forehead with a metal spoon improves exam results immediately."
real,"The city library extended its weekend hours to give students more study time before finals."
fake,"Scientists found that people can breathe underwater after practicing for two days in a bathtub."
real,"The finance ministry reported a small increase in tax revenue compared with the same period last year."
fake,"A famous actor said a single tablespoon of honey can repair cracked phone screens."
real,"The local clinic began offering free blood pressure screenings during community health events."
fake,"Experts reveal that placing onions in your shoes can stop car engines from overheating."
real,"The university opened applications for its scholarship program for first-year students."
fake,"A new hack lets you cancel all ads forever by shaking the TV remote three times."
real,"The weather bureau reported temperatures will remain above average through the end of the week."
